,apply_promo
0,0.010904206633235937
1,0.047591721278919495
2,0.014127349126710608
3,0.03548067196500625
4,0.02867031299617114
5,0.00231952333276723
6,0.023542313582410584
7,0.04589979796067148
8,0.014057013205510555
9,0.007899707997199898
10,0.13680769733002376
11,0.00527771867519355
12,0.002306364367710386
13,0.022948959352272088
14,0.01330767653703733
15,0.0034860771324329463
16,0.007345441183455175
17,0.007353207157578118
18,0.022174146444672343
19,0.041031720573771024
20,0.0066301476341118345
21,0.004671437655301656
22,0.0036565709431422466
23,0.26688196016735355
24,0.004200558901607149
25,0.007531815202333363
26,0.012811659151911403
27,0.02136243353605002
28,0.011539199842823119
29,0.00851806406527955
30,0.0108789262915122
31,0.043162686818174076
32,0.03618773085922355
33,0.004905716813129874
34,0.015498005445120828
35,0.0075847393137927046
36,0.23940320926406625
37,0.0041045819061688695
38,0.04050112860360826
39,0.004118504890810062
40,0.012186608311922531
41,0.008611103019156527
42,0.008199883040772833
43,0.11799266812534938
44,0.1427775178225906
45,0.03325191314300498
46,0.024769134692906748
47,0.060299737965919475
48,0.020209119290404816
49,0.011847072434046183
50,0.051799496135869795
51,0.03350990926626453
52,0.012127539350156499
53,0.013785259031215942
54,0.008428992774615065
55,0.01824876375655151
56,0.050983002635210474
57,0.008256480568642144
58,0.1255685384059613
59,0.012442336299001154
60,0.019608193266679026
61,0.026042936523872837
62,0.011170335081902823
63,0.029092167989437364
64,0.006437288838980007
65,0.037944547538059724
66,0.006572630134004083
67,0.014579269540013142
68,0.03801448190622685
69,0.01909137479157617
70,0.011174433790137587
71,0.04065275918053734
72,0.021960471556218466
73,0.05777177977116293
74,0.005072398409400118
75,0.025722697967562994
76,0.0032539083656617034
77,0.06068548964764174
78,0.05276001347714971
79,0.004109594932899483
80,0.028999290391104847
81,0.018037433155790077
82,0.0145906836170464
83,0.004047550444232364
84,0.0071358609339538534
85,0.010206775090043706
86,0.007638301427037559
87,0.00860441988022042
88,0.026176226995762216
89,0.002161903391290235
90,0.002797365584997886
91,0.08604376872451679
92,0.008065231855010084
93,0.009682108249515433
94,0.006120588669804223
95,0.004099825882600358
96,0.0033161589708159225
97,0.06146394933188335
98,0.02072705176181077
99,0.0343612128841444
100,0.0024884165528120056
101,0.010709785482761514
102,0.01644322314997026
103,0.010855172108407436
104,0.017468514417403373
105,0.006310946034976451
106,0.025720409858006714
107,0.028167852962361933
108,0.005731379081219219
109,0.006991914376604945
110,0.007033607115834109
111,0.3690324931742743
112,0.0042426579507562935
113,0.015219287789226306
114,0.003684658040742984
115,0.02621013166540175
116,0.006227938706338116
117,0.012294065902956305
118,0.03781731024154862
119,0.031662259789169485
120,0.003768961420750324
121,0.0311482332138033
122,0.051026663947556915
123,0.09767701116537585
124,0.010812806160681317
125,0.007928203227046838
126,0.005650383178316048
127,0.008142935543067302
128,0.002812009763489848
129,0.024725298146430857
130,0.0034133516355667353
131,0.029010125766409146
132,0.013196990231188708
133,0.07312647895800904
134,0.011799836861064596
135,0.0037397095488699043
136,0.00496594910301984
137,0.01087396516095265
138,0.03326341394909986
139,0.034646087919956776
140,0.031156982675131752
141,0.005041142267316002
142,0.013335524358111198
143,0.017565876146446745
144,0.020062245040473478
145,0.04863232444662625
146,0.00893996661668118
147,0.009177993403333003
148,0.011535232697740438
149,0.008506733136562958
150,0.0037734431067244986
151,0.012861262373332112
152,0.006978044515923164
153,0.05727515077003444
154,0.004857388760490845
155,0.029516176060625208
156,0.04893483474533972
157,0.04414426362215728
158,0.017911491884833992
159,0.007214789062393248
160,0.026081501257292885
161,0.008505262129232393
162,0.001528790510888878
163,0.01477840263372923
164,0.01625695806779586
165,0.0072551655012817904
166,0.004715305725283234
167,0.012619453696785826
168,0.009013018652471802
169,0.016711864754152768
170,0.00471024249941445
171,0.015617130771853848
172,0.00916549560404666
173,0.02517122783607449
174,0.01953905328246799
175,0.010988310322903727
176,0.007567544215171088
177,0.012012607637228048
178,0.07203196087992417
179,0.04555246242320871
180,0.08655141222286206
181,0.0548309597831697
182,0.01432675410858622
183,0.015244251736403494
184,0.014274280146220883
185,0.028855336542852737
186,0.034519593172899946
187,0.012049721900069043
188,0.010800660105333091
189,0.008070958579356101
190,0.3075091514463573
191,0.06992835232989103
192,0.03735563861063567
193,0.002192353161676244
194,0.008783637577421599
195,0.026231456444625816
196,0.007954363827282662
197,0.005795774320284849
198,0.014187312668675576
199,0.02076245722096764
200,0.007869635136525359
201,0.007529657733061555
202,0.004732726333089422
203,0.007127579314436927
204,0.004478817001115781
205,0.006295124536176845
206,0.0017513955774377964
207,0.009832137912271135
208,0.020311785158242338
209,0.007721654303962822
210,0.005489926671365577
211,0.005494070482727149
212,0.020520160274379046
213,0.004869286964670895
214,0.025696840841818388
215,0.012606840307871327
